"id","created_at","name","has_test","alternate_url"
"116604182","2025-01-31T12:52:47+0300","ML-инженер (Junior Data Scientist)",false,"https://hh.ru/vacancy/116604182"
"116880559","2025-02-16T09:42:27+0300","Стажер Data Scientist",false,"https://hh.ru/vacancy/116880559"
"117232071","2025-02-13T17:01:44+0300","Data Scientist",false,"https://hh.ru/vacancy/117232071"
"117230334","2025-02-13T16:48:42+0300","Количественный аналитик/Data Scientist",false,"https://hh.ru/vacancy/117230334"
"117159931","2025-02-12T17:09:23+0300","Data Scientist",false,"https://hh.ru/vacancy/117159931"
"114195603","2025-02-12T11:47:23+0300","Junior Data Scientist",false,"https://hh.ru/vacancy/114195603"
"115928521","2025-02-09T03:17:44+0300","Стажер Data scientist",false,"https://hh.ru/vacancy/115928521"
"111528693","2025-01-28T12:18:09+0300","Data Scientist (statistical analysis)",false,"https://hh.ru/vacancy/111528693"
"117152095","2025-02-15T15:08:30+0300","Junior Data Scientist \ Аналитик",false,"https://hh.ru/vacancy/117152095"
"116566430","2025-01-30T14:17:16+0300","Junior Data Engineer",false,"https://hh.ru/vacancy/116566430"
"117157465","2025-02-12T16:23:22+0300","Аналитик данных / Инженер данных/ Data Scientist / Data Analyst / Data engineer",false,"https://hh.ru/vacancy/117157465"
"117200480","2025-02-13T11:25:41+0300","Data Scientist (ML/LLM Engineer)",false,"https://hh.ru/vacancy/117200480"
"116566429","2025-01-30T14:17:16+0300","Junior Data Engineer",false,"https://hh.ru/vacancy/116566429"
"117138848","2025-02-12T11:58:35+0300","Стажер data-scientist, чат-бот",false,"https://hh.ru/vacancy/117138848"
"116993738","2025-02-09T23:43:32+0300","ML engineer/Data scientist",false,"https://hh.ru/vacancy/116993738"
"117125086","2025-02-12T09:13:42+0300","Data Scientist (Нижний Новгород)",false,"https://hh.ru/vacancy/117125086"
"116763298","2025-02-13T15:45:21+0300","Project manager",false,"https://hh.ru/vacancy/116763298"
"114020524","2025-01-31T17:34:45+0300","Junior Data Scientist/MLE",false,"https://hh.ru/vacancy/114020524"
"117137490","2025-02-15T11:44:42+0300","Data scientist в сервис путешествий",false,"https://hh.ru/vacancy/117137490"
"117195300","2025-02-13T10:56:53+0300","Специалист по валидации моделей (Junior Data Scientist) Управления модельных рисков и валидации",false,"https://hh.ru/vacancy/117195300"
